SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020
040,3,6,01,Alabama,0,0,1,0,40144,40144,39928,40882,39995,38930,39839,40054,40221,39345,39036,37587,36624
040,3,6,01,Alabama,0,0,1,1,40184,40184,40100,39862,40817,39970,39039,40099,40046,40370,39393,39254,38027
040,3,6,01,Alabama,0,0,1,2,41688,41688,41551,40240,39794,40778,39872,39159,40233,40246,40588,39585,39524
040,3,6,01,Alabama,0,0,1,3,41722,41723,41718,41706,40193,39872,40858,40013,39292,40388,40490,40938,40079
040,3,6,01,Alabama,0,0,1,4,41084,41084,41251,41730,41619,40155,39861,40735,40017,39330,40520,40697,41136
040,3,6,01,Alabama,0,0,1,5,41244,41243,41284,41313,41742,41676,40286,40016,40863,40201,39467,40844,40936
040,3,6,01,Alabama,0,0,1,6,41388,41387,41464,41445,41227,41673,41753,40372,40100,41038,40380,39794,41092
040,3,6,01,Alabama,0,0,1,7,41152,41153,41281,41640,41435,41301,41715,41832,40618,40270,41275,40590,40006
040,3,6,01,Alabama,0,0,1,8,41409,41409,41140,41400,41589,41486,41309,41815,41890,40648,40499,41400,40835
040,3,6,01,Alabama,0,0,1,9,43576,43575,43073,41182,41417,41619,41574,41408,41969,42027,40929,40747,41575
040,3,6,01,Alabama,0,0,1,10,43390,43389,43606,43230,41249,41597,41673,41642,41605,42067,42210,41200,40956
040,3,6,01,Alabama,0,0,1,11,42922,42922,42939,43715,43323,41238,41613,41761,41773,41835,42433,42509,41556
040,3,6,01,Alabama,0,0,1,12,42902,42901,42953,43104,43731,43372,41395,41627,41882,41911,42067,42676,42718
040,3,6,01,Alabama,0,0,1,13,42329,42329,42491,42913,43231,43802,43393,41362,41643,41903,42095,42215,42801
040,3,6,01,Alabama,0,0,1,14,42280,42280,42228,42533,42944,43234,43785,43431,41512,41832,42077,42305,42359
040,3,6,01,Alabama,0,0,1,15,43126,43127,42982,42370,42707,43029,43368,43843,43619,41635,42146,42376,42582
040,3,6,01,Alabama,0,0,1,16,43818,43818,43753,43028,42439,42750,43041,43479,43995,43702,41859,42366,42550
040,3,6,01,Alabama,0,0,1,17,44168,44168,44026,43908,43079,42565,42740,43070,43708,44143,43853,42091,42508
040,3,6,01,Alabama,0,0,1,18,45830,45830,45041,42361,42246,41384,40864,41145,41441,41883,42285,42053,40261
040,3,6,01,Alabama,0,0,1,19,47960,47960,47023,44075,41899,41787,41022,40571,40534,40644,41021,41710,41261
040,3,6,01,Alabama,0,0,1,20,47352,47353,47879,47581,44916,42848,42483,41600,41147,41137,41504,41963,42361
040,3,6,01,Alabama,0,0,1,21,45383,45385,45863,48632,48475,45787,43727,43464,42625,42112,42345,42616,43132
040,3,6,01,Alabama,0,0,1,22,44352,44352,44650,46180,49162,49129,46255,44264,44037,43144,42824,42978,43433
040,3,6,01,Alabama,0,0,1,23,43643,43643,43852,44939,46727,49747,49469,46484,44511,44356,43410,43170,43313
040,3,6,01,Alabama,0,0,1,24,43343,43346,43256,43087,43999,45726,48486,48313,45482,43655,43293,42476,42294
040,3,6,01,Alabama,0,0,1,25,42920,42921,43216,42877,42448,43424,45148,47678,47483,44791,43087,42950,42149
040,3,6,01,Alabama,0,0,1,26,41960,41961,41888,42859,42351,42040,43004,44575,47000,46904,44447,42827,42705
040,3,6,01,Alabama,0,0,1,27,42396,42398,42343,41516,42568,42121,41749,42591,44235,46721,46504,44191,42910
040,3,6,01,Alabama,0,0,1,28,42025,42027,42294,42136,41400,42365,41646,41406,42256,44045,46443,46390,44338
040,3,6,01,Alabama,0,0,1,29,42875,42877,42586,42160,41805,41296,42088,41442,41104,42035,43963,46265,46321
040,3,6,01,Alabama,0,0,1,30,42966,42967,43210,42534,42223,41605,41053,41891,41039,40995,42011,43818,46316
040,3,6,01,Alabama,0,0,1,31,40332,40332,40916,43078,42301,42021,41554,40864,41767,40972,40984,41912,43829
040,3,6,01,Alabama,0,0,1,32,41136,41138,40785,40851,43019,42144,41978,41488,40620,41679,40883,41085,42085
040,3,6,01,Alabama,0,0,1,33,40519,40520,41012,40757,40704,42954,42172,41922,41490,40652,41783,41032,41443
040,3,6,01,Alabama,0,0,1,34,39969,39976,39779,40925,40645,40597,42816,42012,41790,41376,40661,41876,41231
040,3,6,01,Alabama,0,0,1,35,41754,41755,41542,39588,40906,40455,40470,42591,41811,41712,41408,40821,42028
040,3,6,01,Alabama,0,0,1,36,40689,40691,40818,41334,39515,40737,40345,40152,42430,41786,41734,41423,40884
040,3,6,01,Alabama,0,0,1,37,42443,42446,41921,40564,41219,39456,40633,40235,40052,42388,41749,41719,41370
040,3,6,01,Alabama,0,0,1,38,45221,45226,44557,41944,40566,41258,39277,40569,40266,39966,42451,41826,41728
040,3,6,01,Alabama,0,0,1,39,48198,48201,47718,44495,41834,40456,41149,39073,40486,40260,39993,42449,41862
040,3,6,01,Alabama,0,0,1,40,46899,46903,47357,47734,44325,41785,40393,40985,39000,40311,40177,39933,42528
040,3,6,01,Alabama,0,0,1,41,44355,44360,44929,47397,47698,44438,41884,40428,41045,39044,40401,40354,40060
040,3,6,01,Alabama,0,0,1,42,43208,43211,43363,44776,47306,47626,44331,41660,40154,40896,38875,40472,40336
040,3,6,01,Alabama,0,0,1,43,44149,44149,44013,43328,44839,47290,47579,44274,41620,40270,40897,38991,40623
040,3,6,01,Alabama,0,0,1,44,45905,45904,45368,43907,43209,44851,47196,47439,44234,41460,40183,40906,38953
040,3,6,01,Alabama,0,0,1,45,49892,49894,48935,45198,43733,43131,44611,47047,47309,44022,41507,40253,40854
040,3,6,01,Alabama,0,0,1,46,49967,49970,50114,48901,45087,43728,43052,44369,46854,47265,43998,41541,40357
040,3,6,01,Alabama,0,0,1,47,49987,49989,50117,50041,48899,45130,43682,43108,44331,46975,47339,44135,41629
040,3,6,01,Alabama,0,0,1,48,50981,50986,50688,49910,49913,48729,44912,43559,42965,44267,47017,47383,44145
040,3,6,01,Alabama,0,0,1,49,51260,51264,51517,50609,49861,49869,48601,44822,43468,42935,44346,47089,47435
040,3,6,01,Alabama,0,0,1,50,51738,51743,51476,51273,50299,49620,49606,48285,44523,43330,42816,44307,46924
040,3,6,01,Alabama,0,0,1,51,49783,49783,50164,51326,51016,50256,49547,49474,48216,44378,43302,42925,44266
040,3,6,01,Alabama,0,0,1,52,51097,51103,50725,50015,51238,50828,49954,49334,49255,47947,44323,43290,42935
040,3,6,01,Alabama,0,0,1,53,50353,50359,50972,50461,49689,51100,50494,49649,48984,49024,47781,44232,43134
040,3,6,01,Alabama,0,0,1,54,49283,49286,49277,50708,50123,49464,50872,50168,49456,48769,48975,47741,44139
040,3,6,01,Alabama,0,0,1,55,48927,48930,48964,48990,50323,49816,49142,50551,49885,49153,48533,48852,47583
040,3,6,01,Alabama,0,0,1,56,47429,47432,47876,48716,48648,49994,49500,48798,50379,49681,49090,48456,48804
040,3,6,01,Alabama,0,0,1,57,45653,45655,45961,47495,48342,48298,49551,49055,48484,50032,49356,48878,48275
040,3,6,01,Alabama,0,0,1,58,45337,45343,45112,45696,47177,48020,47967,49108,48671,48206,49770,49233,48727
040,3,6,01,Alabama,0,0,1,59,42922,42924,43798,44772,45375,46849,47674,47635,48761,48414,48043,49563,49008
040,3,6,01,Alabama,0,0,1,60,44108,44109,43639,43450,44421,44942,46389,47178,47184,48431,48054,47705,49293
040,3,6,01,Alabama,0,0,1,61,43904,43905,43993,43289,42994,44039,44501,46008,46843,46819,48154,47773,47455
040,3,6,01,Alabama,0,0,1,62,46389,46394,45004,43569,42949,42549,43538,44080,45554,46387,46506,47801,47444
040,3,6,01,Alabama,0,0,1,63,45744,45746,48180,44584,43262,42488,42089,43142,43719,45159,45913,46246,47435
040,3,6,01,Alabama,0,0,1,64,34553,34554,35062,47712,44144,42771,42022,41640,42698,43244,44741,45590,45865
040,3,6,01,Alabama,0,0,1,65,35672,35676,35431,34534,47032,43480,42098,41420,41090,42201,42659,44232,45018
040,3,6,01,Alabama,0,0,1,66,35961,35967,35509,34948,34009,46473,42957,41599,40966,40610,41736,42287,43869
040,3,6,01,Alabama,0,0,1,67,36408,36415,37098,34872,34422,33518,45807,42270,41021,40442,40071,41262,41784
040,3,6,01,Alabama,0,0,1,68,31411,31410,31948,36426,34179,33723,32912,45081,41548,40265,39766,39456,40693
040,3,6,01,Alabama,0,0,1,69,29461,29461,29645,31325,35821,33514,33120,32316,44458,40839,39546,39207,38804
040,3,6,01,Alabama,0,0,1,70,28697,28699,28775,29104,30723,35074,32926,32557,31687,43686,40100,38989,38570
040,3,6,01,Alabama,0,0,1,71,27515,27521,27544,28146,28403,30006,34327,32151,31848,30921,42671,39303,38178
040,3,6,01,Alabama,0,0,1,72,26437,26436,26669,26830,27401,27604,29266,33469,31387,31052,30149,41806,38409
040,3,6,01,Alabama,0,0,1,73,24109,24111,24409,25895,26055,26592,26855,28320,32525,30483,30215,29407,40801
040,3,6,01,Alabama,0,0,1,74,23737,23740,23643,23615,25220,25281,25848,26034,27515,31603,29624,29446,28614
040,3,6,01,Alabama,0,0,1,75,22832,22836,22985,22858,22814,24382,24429,24943,25169,26677,30615,28717,28548
040,3,6,01,Alabama,0,0,1,76,20510,20516,20693,22142,22073,22018,23542,23528,24175,24297,25771,29686,27789
040,3,6,01,Alabama,0,0,1,77,19857,19862,19876,19900,21181,21169,21147,22574,22680,23196,23332,24831,28600
040,3,6,01,Alabama,0,0,1,78,19256,19261,19184,18974,19046,20234,20298,20171,21693,21708,22206,22423,23819
040,3,6,01,Alabama,0,0,1,79,18276,18278,18161,18083,17886,17915,19119,19120,19075,20554,20555,21068,21218
040,3,6,01,Alabama,0,0,1,80,17100,17102,17268,17214,17123,16874,17007,18044,18147,18061,19535,19529,19997
040,3,6,01,Alabama,0,0,1,81,15659,15664,15701,16295,16201,16158,15887,16033,17054,17087,17059,18513,18447
040,3,6,01,Alabama,0,0,1,82,14941,14948,14882,14580,15141,15027,15048,14688,14962,15856,15844,15933,17295
040,3,6,01,Alabama,0,0,1,83,13568,13568,13674,13764,13464,13937,13922,13887,13669,13877,14677,14681,14733
040,3,6,01,Alabama,0,0,1,84,11933,11939,12048,12560,12637,12347,12865,12841,12850,12571,12848,13622,13523
040,3,6,01,Alabama,0,0,1,85,61338,61365,61819,63180,65056,66382,68005,69366,71029,72545,73453,74447,74979
040,3,6,01,Alabama,0,0,2,0,20146,20146,19643,19033,19143,19059,19149,19548,19370,19319,19766,19648,19667
040,3,6,01,Alabama,0,0,2,1,19751,19751,19793,19788,19043,19119,19115,19096,19706,19279,19302,19813,19701
040,3,6,01,Alabama,0,0,2,2,20521,20521,20468,19823,19830,19131,19147,19147,19088,19694,19331,19338,19863
040,3,6,01,Alabama,0,0,2,3,20110,20111,20224,20408,19738,19735,19048,19132,19033,19073,19671,19244,19299
040,3,6,01,Alabama,0,0,2,4,19414,19415,19551,20192,20443,19721,19746,18981,19200,19084,19071,19695,19270
040,3,6,01,Alabama,0,0,2,5,18927,18927,19066,19557,20235,20431,19701,19723,18972,19269,19096,19111,19705
040,3,6,01,Alabama,0,0,2,6,18794,18795,18858,19078,19549,20139,20438,19619,19643,18924,19167,19082,19078
040,3,6,01,Alabama,0,0,2,7,18890,18891,18828,18770,18987,19495,20078,20334,19592,19593,18929,19120,19038
040,3,6,01,Alabama,0,0,2,8,19734,19734,19471,18939,18840,19008,19493,20125,20392,19594,19587,18926,19196
040,3,6,01,Alabama,0,0,2,9,20888,20888,20608,19403,18979,18828,19031,19439,20085,20321,19622,19591,18954
040,3,6,01,Alabama,0,0,2,10,21079,21079,21173,20654,19402,18947,18778,18960,19402,20057,20368,19582,19541
040,3,6,01,Alabama,0,0,2,11,20240,20240,20350,21159,20703,19421,18961,18800,18968,19390,20094,20384,19589
040,3,6,01,Alabama,0,0,2,12,20682,20682,20604,20269,21130,20598,19265,18850,18710,18899,19236,19974,20312
040,3,6,01,Alabama,0,0,2,13,20191,20191,20394,20653,20346,21150,20617,19283,18851,18753,18881,19254,19972
040,3,6,01,Alabama,0,0,2,14,20710,20710,20451,20416,20747,20397,21091,20662,19291,18815,18702,18913,19186
040,3,6,01,Alabama,0,0,2,15,21300,21300,21182,20376,20454,20659,20329,21008,20598,19303,18782,18679,18876
040,3,6,01,Alabama,0,0,2,16,22201,22201,22053,21107,20326,20298,20590,20232,20903,20474,19202,18703,18561
040,3,6,01,Alabama,0,0,2,17,22800,22800,22631,21963,21053,20187,20235,20497,20141,20833,20408,19168,18678
040,3,6,01,Alabama,0,0,2,18,23482,23483,23438,22822,22255,21433,20519,20709,20818,20571,21423,20798,19694
040,3,6,01,Alabama,0,0,2,19,24654,24656,24601,24051,23806,23476,22224,21521,21586,21745,21637,22266,21693
040,3,6,01,Alabama,0,0,2,20,23851,23853,24158,24278,24049,23956,23172,22231,21278,21420,21672,21176,22000
040,3,6,01,Alabama,0,0,2,21,21976,21981,22356,23667,24111,24086,23676,22961,21910,21065,21120,21199,20899
040,3,6,01,Alabama,0,0,2,22,20481,20483,20662,22028,23604,24180,23810,23389,22642,21560,20639,20534,20771
040,3,6,01,Alabama,0,0,2,23,19499,19502,19649,20430,21838,23454,23841,23531,23083,22271,21135,20200,20089
040,3,6,01,Alabama,0,0,2,24,18977,18979,19040,19528,20310,21742,23283,23767,23286,22811,21980,20864,19844
040,3,6,01,Alabama,0,0,2,25,18623,18627,18746,18710,19097,19904,21259,22794,23071,22676,22073,21362,20358
040,3,6,01,Alabama,0,0,2,26,17897,17909,17940,18606,18551,18958,19648,20954,22464,22710,22256,21712,21091
040,3,6,01,Alabama,0,0,2,27,18117,18123,18062,17759,18531,18465,18867,19525,20716,22162,22432,21974,21520
040,3,6,01,Alabama,0,0,2,28,18032,18041,18178,17944,17696,18406,18232,18661,19385,20490,21931,22260,21747
040,3,6,01,Alabama,0,0,2,29,18580,18586,18299,18160,17913,17719,18340,18175,18580,19246,20356,21749,22200
040,3,6,01,Alabama,0,0,2,30,18986,18991,19105,18240,18192,17857,17602,18238,18081,18403,19087,20276,21644
040,3,6,01,Alabama,0,0,2,31,17369,17375,17742,19082,18242,18090,17769,17531,18142,17901,18228,18925,20192
040,3,6,01,Alabama,0,0,2,32,17080,17088,17029,17671,19042,18186,17933,17680,17371,17905,17708,18071,18785
040,3,6,01,Alabama,0,0,2,33,16279,16281,16646,17004,17627,19091,18155,17971,17632,17267,17860,17646,18135
040,3,6,01,Alabama,0,0,2,34,15924,15929,15832,16646,17001,17678,18984,18076,17816,17469,17175,17783,17560
040,3,6,01,Alabama,0,0,2,35,16215,16220,16250,15729,16599,16943,17541,18886,17845,17585,17288,16947,17640
040,3,6,01,Alabama,0,0,2,36,16090,16091,16062,16283,15847,16698,16955,17589,18923,17869,17579,17286,16960
040,3,6,01,Alabama,0,0,2,37,16517,16520,16382,15929,16129,15684,16553,16741,17290,18651,17584,17403,17084
040,3,6,01,Alabama,0,0,2,38,16902,16907,16909,16429,15996,16201,15749,16589,16710,17294,18650,17569,17374
040,3,6,01,Alabama,0,0,2,39,16889,16891,16960,16691,16253,15834,16030,15519,16357,16476,17068,18420,17321
040,3,6,01,Alabama,0,0,2,40,16283,16286,16456,16887,16692,16274,15807,16026,15427,16237,16397,17007,18281
040,3,6,01,Alabama,0,0,2,41,15512,15515,15513,16439,16870,16751,16351,15795,15978,15421,16169,16375,16961
040,3,6,01,Alabama,0,0,2,42,15645,15650,15677,15484,16469,16873,16699,16242,15716,15935,15297,16115,16367
040,3,6,01,Alabama,0,0,2,43,15625,15629,15567,15688,15543,16490,16905,16689,16197,15745,15935,15283,16081
040,3,6,01,Alabama,0,0,2,44,16692,16694,16453,15612,15728,15535,16498,16922,16644,16210,15682,15983,15276
040,3,6,01,Alabama,0,0,2,45,17546,17546,17346,16252,15474,15599,15386,16373,16739,16466,16016,15466,15793
040,3,6,01,Alabama,0,0,2,46,17253,17256,17398,17393,16307,15518,15641,15348,16327,16695,16396,15994,15453
040,3,6,01,Alabama,0,0,2,47,17661,17662,17568,17311,17335,16312,15521,15591,15314,16334,16682,16416,16014
040,3,6,01,Alabama,0,0,2,48,17638,17643,17664,17560,17326,17303,16263,15409,15460,15185,16200,16532,16300
040,3,6,01,Alabama,0,0,2,49,17883,17890,17782,17615,17435,17249,17306,16214,15400,15378,15106,16117,16475
040,3,6,01,Alabama,0,0,2,50,18467,18469,18382,17672,17544,17382,17201,17271,16150,15277,15236,15033,15995
040,3,6,01,Alabama,0,0,2,51,17878,17878,18017,18380,17612,17551,17407,17231,17228,16074,15252,15193,14973
040,3,6,01,Alabama,0,0,2,52,17911,17912,17783,17976,18357,17655,17540,17460,17219,17223,16043,15263,15180
040,3,6,01,Alabama,0,0,2,53,17913,17915,17983,17582,17783,18187,17465,17317,17223,17028,16974,15846,15069
040,3,6,01,Alabama,0,0,2,54,17505,17509,17515,17856,17543,17644,18179,17368,17266,17193,16945,16939,15744
040,3,6,01,Alabama,0,0,2,55,16980,16981,17071,17349,17713,17354,17614,18060,17230,17141,17079,16779,16805
